Trial,1,Sim Type,5,Distance Weight,0.3,Random Seed,15,Min Iterations,2500,Distance cost,6.744568974801165,Manip Cost,1.4687305193118876,Total cost,3.0514820559586706,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.069,0.05,0.073,0.05,0.072,0.05,0.042
Total Cost,0.0,0.2,0.4,0.67511,0.87511,1.34398,1.74397,2.25569,2.66792,3.05148
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.2527068452005019,0.2857074130376943,0.3207766787564901,0.30317943764019034,0.3063601446770111
Joint 0: ,-0.2,-0.165,-0.145,-0.114,-0.056,0.02,0.087,0.241,0.281,0.231
Joint 1: ,0.4,0.417,0.406,0.399,0.499,0.6,0.663,0.734,0.827,0.921
Joint 2: ,0.4,0.415,0.428,0.379,0.391,0.467,0.485,0.386,0.353,0.421
Joint 3: ,0.9,0.963,1.054,1.187,1.148,1.126,1.115,1.072,1.008,0.958
Joint 4: ,0.9,0.869,0.837,0.772,0.803,0.869,0.884,0.826,0.839,0.948
Joint 5: ,0.9,0.942,1.003,1.067,1.015,0.968,0.943,0.895,0.836,0.771
Joint 6: ,0.0,0.031,0.063,0.126,0.157,0.094,0.11,-0.063,-0.079,-0.11
Trial,2,Sim Type,5,Distance Weight,0.3,Random Seed,30,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,3,Sim Type,5,Distance Weight,0.3,Random Seed,45,Min Iterations,2500,Distance cost,7.178153854252054,Manip Cost,1.1534145319145432,Total cost,2.9608363286157964,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,2.500104079e-11,1e-20,1e-20,4.224086823e-11,4.470481878e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.073,0.071,0.05,0.05,0.044
Total Cost,0.0,0.2,0.4,0.6,0.8,1.0,1.29177,1.75907,2.14582,2.55916,2.96084
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2600752629052605,0.26679324339258825,0.3047639044203502,0.3217821211963443
Joint 0: ,-0.2,-0.218,-0.181,-0.145,-0.108,-0.072,0.003,0.089,0.111,0.178,0.217
Joint 1: ,0.4,0.299,0.279,0.298,0.309,0.38,0.515,0.644,0.738,0.828,0.923
Joint 2: ,0.4,0.393,0.42,0.438,0.441,0.451,0.412,0.431,0.407,0.418,0.459
Joint 3: ,0.9,1.01,1.084,1.147,1.226,1.266,1.245,1.2,1.139,1.062,0.954
Joint 4: ,0.9,0.803,0.784,0.742,0.695,0.679,0.734,0.775,0.786,0.833,0.912
Joint 5: ,0.9,1.01,1.059,1.122,1.176,1.157,1.045,0.971,0.912,0.848,0.766
Joint 6: ,0.0,0.079,0.094,0.126,0.126,0.11,-0.031,-0.079,-0.094,-0.141,-0.22
Trial,4,Sim Type,5,Distance Weight,0.3,Random Seed,60,Min Iterations,2500,Distance cost,7.5031620648458155,Manip Cost,1.5214257419972694,Total cost,3.315946638851833,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,6.29049105e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.057,0.055
Total Cost,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.57856,1.97132,2.41702,2.87425,3.31595
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25507860006120864,0.2753814089925068,0.3510002466584096,0.32539422087195646,0.31457126541318786
Joint 0: ,-0.2,-0.166,-0.09,-0.064,-0.039,0.041,0.096,0.118,0.154,0.211,0.204,0.227
Joint 1: ,0.4,0.36,0.419,0.375,0.379,0.476,0.532,0.581,0.674,0.767,0.796,0.915
Joint 2: ,0.4,0.427,0.458,0.474,0.436,0.461,0.478,0.474,0.439,0.441,0.379,0.406
Joint 3: ,0.9,0.941,0.933,1.012,1.09,1.026,1.047,1.096,1.017,0.963,1.012,0.948
Joint 4: ,0.9,0.916,0.963,0.916,0.867,0.889,0.888,0.876,0.894,0.907,0.885,0.918
Joint 5: ,0.9,0.937,0.911,0.979,1.058,0.987,0.98,0.99,0.917,0.86,0.851,0.814
Joint 6: ,0.0,0.0,0.047,0.047,0.046,-0.001,-0.032,-0.032,-0.079,-0.095,-0.126,-0.189
Trial,5,Sim Type,5,Distance Weight,0.3,Random Seed,75,Min Iterations,2500,Distance cost,7.453852367357873,Manip Cost,0.9071993785541106,Total cost,2.871195275195239,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.066,0.049,0.07,0.046,0.055,0.05,0.073,0.05
Total Cost,0.0,0.2,0.4,0.66476,0.85916,1.13915,1.32425,1.5434,1.93236,2.43894,2.8712
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2699425250276272,0.30547025679743744,0.3317865967290459
Joint 0: ,-0.2,-0.214,-0.162,-0.074,-0.027,0.031,0.064,0.141,0.175,0.175,0.232
Joint 1: ,0.4,0.302,0.357,0.438,0.433,0.422,0.489,0.579,0.657,0.813,0.898
Joint 2: ,0.4,0.403,0.427,0.354,0.385,0.449,0.427,0.428,0.39,0.402,0.406
Joint 3: ,0.9,1.008,1.038,1.063,1.104,1.16,1.172,1.152,1.122,1.0,0.951
Joint 4: ,0.9,0.821,0.821,0.824,0.824,0.824,0.811,0.847,0.85,0.89,0.901
Joint 5: ,0.9,0.996,0.995,0.993,1.018,1.047,1.034,0.988,0.914,0.842,0.792
Joint 6: ,0.0,0.079,0.11,0.22,0.22,0.283,0.251,0.314,0.33,0.283,0.283
Trial,6,Sim Type,5,Distance Weight,0.3,Random Seed,90,Min Iterations,2500,Distance cost,6.482562175817304,Manip Cost,0.8660186106135832,Total cost,2.5509816801746994,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,4.356923585e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.068,0.069,0.05,0.05
Total Cost,0.0,0.2,0.4,0.6,0.8,1.0,1.27063,1.73779,2.14439,2.55098
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757485450339662,0.29514130590314497,0.29512875967647195
Joint 0: ,-0.2,-0.16,-0.128,-0.097,-0.064,-0.031,0.051,0.132,0.184,0.252
Joint 1: ,0.4,0.433,0.478,0.443,0.451,0.441,0.584,0.698,0.792,0.886
Joint 2: ,0.4,0.416,0.424,0.449,0.441,0.463,0.474,0.446,0.41,0.366
Joint 3: ,0.9,0.952,0.999,1.068,1.144,1.219,1.148,1.129,1.054,0.958
Joint 4: ,0.9,0.892,0.883,0.872,0.825,0.789,0.833,0.876,0.894,0.916
Joint 5: ,0.9,0.92,0.933,0.982,1.029,1.076,0.986,0.94,0.874,0.799
Joint 6: ,0.0,-0.0,-0.0,0.016,0.063,0.063,0.047,-0.047,-0.094,-0.141
Trial,7,Sim Type,5,Distance Weight,0.3,Random Seed,105,Min Iterations,2500,Distance cost,6.612403929307198,Manip Cost,0.9274365726968224,Total cost,2.632926779679935,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,2.709189508e-11,1e-20,4.121802932e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.047,0.05,0.067,0.064,0.068,0.05
Total Cost,0.0,0.2,0.4,0.6,0.78896,0.98896,1.25689,1.71037,2.21925,2.63293
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2846023378734187,0.33757924069358747,0.30525499412981627
Joint 0: ,-0.2,-0.125,-0.101,-0.064,-0.048,-0.016,0.045,0.179,0.248,0.31
Joint 1: ,0.4,0.475,0.436,0.379,0.464,0.468,0.597,0.672,0.781,0.858
Joint 2: ,0.4,0.428,0.35,0.303,0.341,0.332,0.371,0.299,0.232,0.247
Joint 3: ,0.9,0.879,0.987,1.097,1.097,1.175,1.114,1.074,1.025,0.962
Joint 4: ,0.9,0.947,0.869,0.79,0.817,0.769,0.847,0.88,0.868,0.915
Joint 5: ,0.9,0.827,0.906,0.994,0.967,1.027,0.893,0.824,0.842,0.773
Joint 6: ,0.0,0.047,0.126,0.204,0.173,0.22,0.204,0.314,0.409,0.456
Trial,8,Sim Type,5,Distance Weight,0.3,Random Seed,120,Min Iterations,2500,Distance cost,7.412525703723849,Manip Cost,0.8460155898727104,Total cost,2.8159686240280517,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,4.120259117e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.073,0.066,0.067
Total Cost,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.83777,2.32878,2.81597
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2094444898373451,0.32507727798572794,0.31149382204963744
Joint 0: ,-0.2,-0.175,-0.153,-0.088,-0.044,-0.006,0.033,0.037,0.117,0.199,0.265
Joint 1: ,0.4,0.344,0.278,0.356,0.433,0.429,0.472,0.525,0.65,0.771,0.891
Joint 2: ,0.4,0.416,0.404,0.421,0.433,0.456,0.469,0.445,0.386,0.375,0.355
Joint 3: ,0.9,0.977,1.083,1.091,1.103,1.166,1.22,1.266,1.107,1.032,0.963
Joint 4: ,0.9,0.884,0.833,0.871,0.871,0.839,0.829,0.815,0.899,0.92,0.936
Joint 5: ,0.9,0.964,1.046,0.984,0.962,1.01,1.023,1.029,0.886,0.815,0.752
Joint 6: ,0.0,0.016,0.063,0.11,0.11,0.141,0.141,0.141,0.251,0.236,0.236
Trial,9,Sim Type,5,Distance Weight,0.3,Random Seed,135,Min Iterations,2500,Distance cost,6.835623020829522,Manip Cost,0.8437847344553736,Total cost,2.6413362203676183,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,2.77955004e-11,4.121957229e-11,1e-20
Distance to Last Node,0.0,0.05,0.073,0.05,0.05,0.05,0.05,0.05,0.069,0.07
Total Cost,0.0,0.2,0.49287,0.69287,0.89287,1.09287,1.29287,1.68279,2.16212,2.64134
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713154360215678,0.28779055198390335,0.28467874644990243
Joint 0: ,-0.2,-0.154,-0.093,-0.066,-0.003,0.017,0.094,0.139,0.185,0.257
