Trial,1,Sim Type,5,Distance Weight,0.4,Random Seed,15,Min Iterations,2500,Distance cost,0.6695174273719613,Manip Cost,0.5,Total cost,0.5678069709487845,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,2.771803978e-11,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.065,0.05,0.05,0.05,0.063,0.063,0.068,0.075,0.05,0.05,0.05,0.065
Total Cost,0.0,0.31789,0.24126,0.20915,0.19691,0.1948,0.20303,0.21474,0.2975,0.37093,0.42684,0.47654,0.52135,0.56781
Local Manip Cost,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.277,-0.258,-0.329,-0.27,-0.222,-0.169,-0.125,0.017,0.092,0.144,0.199,0.25,0.331
Joint 1: ,0.4,0.293,0.255,0.187,0.291,0.3,0.285,0.411,0.498,0.628,0.721,0.79,0.797,0.863
Joint 2: ,0.4,0.378,0.408,0.364,0.359,0.391,0.379,0.35,0.196,0.169,0.152,0.175,0.203,0.235
Joint 3: ,0.9,0.972,1.088,1.158,1.128,1.185,1.299,1.274,1.271,1.202,1.149,1.059,1.007,0.945
Joint 4: ,0.9,0.873,0.785,0.723,0.746,0.741,0.695,0.724,0.675,0.727,0.758,0.808,0.839,0.871
Joint 5: ,0.9,0.978,1.093,1.159,1.108,1.14,1.223,1.166,1.11,0.934,0.887,0.824,0.799,0.756
Joint 6: ,0.0,0.063,0.141,0.204,0.236,0.236,0.283,0.33,0.346,0.361,0.393,0.424,0.456,0.487
Trial,2,Sim Type,5,Distance Weight,0.4,Random Seed,30,Min Iterations,2500,Distance cost,0.6885510935279,Manip Cost,0.22971807436793878,Total cost,0.4132512820319233,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,2.109990775e-11,1.0,1.0,1.0,1.0,1.0,1.0,0.06881826786035637,0.07290286394552252,0.07586868392354625,0.07634160330589854,0.07827508849880514,0.07730585355046775,4.12163686e-11,4.287980767e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.073,0.05,0.023,0.05,0.053,0.071,0.05
Total Cost,0.0,0.31789,0.43577,0.35366,0.31154,0.28943,0.27874,0.2752,0.27642,0.2961,0.30865,0.31232,0.32636,0.34212,0.36455,0.41325
