Trial,1,Sim Type,5,Distance Weight,0.6,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.6,Random Seed,30,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,3,Sim Type,5,Distance Weight,0.6,Random Seed,45,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,4,Sim Type,5,Distance Weight,0.6,Random Seed,60,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,5,Sim Type,5,Distance Weight,0.6,Random Seed,75,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,6,Sim Type,5,Distance Weight,0.6,Random Seed,90,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,7,Sim Type,5,Distance Weight,0.6,Random Seed,105,Min Iterations,2500,Distance cost,0.5309906749223335,Manip Cost,0.5454545454545454,Total cost,0.5367762231352183,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.064,0.074,0.05,0.05,0.05,0.075,0.041,0.072,0.069
Total Cost,0.0,0.22683,0.19453,0.20086,0.20769,0.22119,0.29564,0.37144,0.42103,0.48178,0.53678
Local Manip Cost,0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.278,-0.164,-0.162,-0.088,-0.024,0.036,0.104,0.149,0.241,0.295
Joint 1: ,0.4,0.323,0.305,0.286,0.36,0.463,0.56,0.667,0.67,0.774,0.881
Joint 2: ,0.4,0.358,0.308,0.396,0.435,0.453,0.463,0.379,0.402,0.299,0.3
Joint 3: ,0.9,0.945,1.026,1.155,1.111,1.063,1.026,1.032,1.039,0.977,0.944
Joint 4: ,0.9,0.874,0.806,0.712,0.759,0.79,0.819,0.932,0.935,0.889,0.888
Joint 5: ,0.9,0.95,1.007,1.093,1.032,0.972,0.921,0.835,0.839,0.808,0.769
Joint 6: ,0.0,0.031,0.094,0.377,0.424,0.456,0.487,0.534,0.534,0.424,0.425
Trial,8,Sim Type,5,Distance Weight,0.6,Random Seed,120,Min Iterations,2500,Distance cost,0.4672748837757827,Manip Cost,0.6363636363636364,Total cost,0.5349103848109242,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,4.308260444e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.071,0.052
Total Cost,0.0,0.22683,0.18699,0.18049,0.18731,0.26748,0.3324,0.3878,0.43685,0.49256,0.53491
Local Manip Cost,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
