Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,2.4776962e-11,1e-20,1e-20,4.078092426e-11,1e-20,4.187293989e-11,1e-20
Distance to Last Node,0.0,0.05,0.068,0.05,0.05,0.05,0.038,0.05,0.05,0.05
Total Cost,0.0,0.6,1.42019,2.02019,2.64588,3.27331,3.76406,4.40364,5.03638,5.66966
Local Manip Cost,0.0,0.0,0.0,0.0,0.25689925434033123,0.27432612728579947,0.325006648074837,0.3958009417003722,0.3274724482536782,0.33277572740751643
Joint 0: ,-0.2,-0.143,-0.084,-0.037,0.011,0.075,0.106,0.17,0.182,0.244
Joint 1: ,0.4,0.405,0.459,0.508,0.571,0.649,0.712,0.805,0.819,0.884
Joint 2: ,0.4,0.432,0.409,0.424,0.402,0.37,0.367,0.364,0.359,0.373
Joint 3: ,0.9,0.932,1.001,1.033,1.048,1.025,1.007,0.942,1.017,0.984
Joint 4: ,0.9,0.9,0.896,0.892,0.886,0.911,0.915,0.962,0.938,0.971
Joint 5: ,0.9,0.917,0.932,0.935,0.877,0.804,0.78,0.727,0.774,0.744
Joint 6: ,0.0,0.0,0.11,0.11,0.11,0.126,0.126,0.173,0.189,0.204
Trial,3,Sim Type,5,Distance Weight,0.9,Random Seed,45,Min Iterations,2500,Distance cost,7.562449704259692,Manip Cost,1.3865579285863034,Total cost,6.944860526692353,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,2.630155666e-11,1e-20,4.084982081e-11,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.07,0.05,0.05,0.05,0.05,0.047
