Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,2500,Distance cost,0.45781397108762156,Manip Cost,0.5,Total cost,0.45781397108762156,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,5.642894021e-11,1e-20,4.082255339e-11,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.071,0.073,0.072,0.045,0.05,0.05
Total Cost,0.0,0.04471,0.08943,0.13414,0.19783,0.26329,0.32765,0.36759,0.41272,0.45781
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.158,-0.088,-0.059,0.037,0.158,0.166,0.201,0.256,0.274
Joint 1: ,0.4,0.447,0.476,0.465,0.527,0.659,0.686,0.716,0.822,0.894
Joint 2: ,0.4,0.414,0.446,0.462,0.44,0.427,0.396,0.376,0.371,0.327
Joint 3: ,0.9,0.937,0.925,1.003,1.038,0.943,1.051,1.095,0.977,0.952
Joint 4: ,0.9,0.895,0.942,0.895,0.877,0.941,0.908,0.909,0.956,0.978
Joint 5: ,0.9,0.907,0.891,0.947,0.965,0.838,0.891,0.917,0.825,0.79
Joint 6: ,0.0,-0.0,0.047,0.094,0.204,0.487,0.518,0.565,0.534,0.628
Trial,2,Sim Type,5,Distance Weight,1,Random Seed,30,Min Iterations,2500,Distance cost,0.42394206204145446,Manip Cost,0.5555555555555556,Total cost,0.42394206204145446,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,2.4776962e-11,1e-20,1e-20,4.089849363e-11,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.068,0.05,0.065,0.061,0.039,0.073,0.067
Total Cost,0.0,0.04471,0.10584,0.15055,0.20862,0.26352,0.29868,0.36362,0.42394
Local Manip Cost,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.143,-0.084,-0.037,0.098,0.174,0.176,0.171,0.215
Joint 1: ,0.4,0.405,0.459,0.508,0.611,0.72,0.723,0.829,0.913
Joint 2: ,0.4,0.432,0.409,0.424,0.338,0.372,0.415,0.47,0.455
Joint 3: ,0.9,0.932,1.001,1.033,0.959,0.887,0.954,0.984,0.989
Joint 4: ,0.9,0.9,0.896,0.892,0.909,1.019,0.971,0.972,0.955
Joint 5: ,0.9,0.917,0.932,0.935,0.849,0.776,0.801,0.751,0.725
Joint 6: ,0.0,0.0,0.11,0.11,0.314,0.361,0.063,-0.393,-0.409
Trial,3,Sim Type,5,Distance Weight,1,Random Seed,45,Min Iterations,2500,Distance cost,0.44872003144176786,Manip Cost,0.6666666666666666,Total cost,0.44872003144176786,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1.0,1e-20,1e-20,4.117926757e-11,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.066,0.074,0.061,0.068,0.051,0.062,0.064,0.056
Total Cost,0.0,0.05875,0.12511,0.17945,0.24015,0.28601,0.34103,0.39848,0.44872
Local Manip Cost,0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.116,-0.049,0.044,0.13,0.169,0.181,0.185,0.237
Joint 1: ,0.4,0.505,0.483,0.597,0.713,0.763,0.749,0.821,0.9
Joint 2: ,0.4,0.424,0.462,0.485,0.512,0.44,0.411,0.414,0.421
Joint 3: ,0.9,0.88,0.947,0.878,0.819,0.819,0.941,0.992,0.976
Joint 4: ,0.9,0.954,0.926,0.961,0.938,0.919,0.876,0.903,0.909
Joint 5: ,0.9,0.846,0.91,0.814,0.732,0.727,0.8,0.778,0.743
Joint 6: ,0.0,0.079,0.11,-0.272,-0.269,-0.222,-0.19,-0.322,-0.323
Trial,4,Sim Type,5,Distance Weight,1,Random Seed,60,Min Iterations,2500,Distance cost,0.4934414630739081,Manip Cost,0.4166666666666667,Total cost,0.4934414630739081,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,4.401591372e-11,6.260380865e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.071,0.075,0.007
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.26829,0.313,0.35771,0.42091,0.48759,0.49344
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.166,-0.09,-0.064,-0.039,0.041,0.096,0.118,0.154,0.223,0.241,0.25
Joint 1: ,0.4,0.36,0.419,0.375,0.379,0.476,0.532,0.581,0.674,0.776,0.9,0.913
Joint 2: ,0.4,0.427,0.458,0.474,0.436,0.461,0.478,0.474,0.439,0.406,0.382,0.383
Joint 3: ,0.9,0.941,0.933,1.012,1.09,1.026,1.047,1.096,1.017,1.005,0.951,0.934
Joint 4: ,0.9,0.916,0.963,0.916,0.867,0.889,0.888,0.876,0.894,0.916,0.924,0.928
Joint 5: ,0.9,0.937,0.911,0.979,1.058,0.987,0.98,0.99,0.917,0.885,0.819,0.806
Joint 6: ,0.0,0.0,0.047,0.047,0.046,-0.001,-0.032,-0.032,-0.079,-0.237,-0.237,-0.237
Trial,5,Sim Type,5,Distance Weight,1,Random Seed,75,Min Iterations,2500,Distance cost,0.4368224877495448,Manip Cost,0.5,Total cost,0.4368224877495448,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.066,0.05,0.05,0.05,0.05,0.069,0.053
Total Cost,0.0,0.04471,0.08943,0.14862,0.19334,0.23805,0.28276,0.32748,0.38938,0.43682
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.214,-0.162,-0.074,-0.048,0.006,0.063,0.129,0.186,0.245
Joint 1: ,0.4,0.302,0.357,0.438,0.502,0.563,0.644,0.685,0.809,0.91
Joint 2: ,0.4,0.403,0.427,0.354,0.353,0.373,0.386,0.411,0.396,0.399
Joint 3: ,0.9,1.008,1.038,1.063,1.091,1.103,1.08,1.067,1.016,0.942
Joint 4: ,0.9,0.821,0.821,0.824,0.819,0.827,0.849,0.865,0.876,0.908
Joint 5: ,0.9,0.996,0.995,0.993,0.99,0.967,0.93,0.912,0.851,0.783
Joint 6: ,0.0,0.079,0.11,0.22,0.22,0.22,0.251,0.267,0.267,0.267
Trial,6,Sim Type,5,Distance Weight,1,Random Seed,90,Min Iterations,2500,Distance cost,0.4294136255919891,Manip Cost,0.4,Total cost,0.4294136255919891,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,4.11963931e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.067,0.066,0.025,0.072
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.28315,0.34214,0.36461,0.42941
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.16,-0.128,-0.097,-0.064,-0.008,0.078,0.142,0.179,0.24
Joint 1: ,0.4,0.433,0.478,0.443,0.451,0.489,0.613,0.726,0.768,0.914
Joint 2: ,0.4,0.416,0.424,0.449,0.441,0.465,0.455,0.447,0.431,0.405
Joint 3: ,0.9,0.952,0.999,1.068,1.144,1.178,1.142,1.117,1.091,0.946
Joint 4: ,0.9,0.892,0.883,0.872,0.825,0.823,0.871,0.874,0.9,0.932
Joint 5: ,0.9,0.92,0.933,0.982,1.029,1.033,0.972,0.94,0.906,0.785
Joint 6: ,0.0,-0.0,-0.0,0.016,0.063,0.063,-0.016,-0.063,0.031,0.031
Trial,7,Sim Type,5,Distance Weight,1,Random Seed,105,Min Iterations,2500,Distance cost,0.44985838050793975,Manip Cost,0.6,Total cost,0.44985838050793975,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,3.514224969e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.066,0.05,0.05,0.069,0.058,0.035,0.075
Total Cost,0.0,0.04471,0.08943,0.14825,0.19296,0.23768,0.29953,0.35178,0.38322,0.44986
Local Manip Cost,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.125,-0.101,-0.053,-0.008,0.064,0.136,0.199,0.244,0.31
Joint 1: ,0.4,0.475,0.436,0.51,0.576,0.668,0.693,0.801,0.852,0.878
Joint 2: ,0.4,0.428,0.35,0.346,0.358,0.377,0.268,0.227,0.242,0.269
Joint 3: ,0.9,0.879,0.987,1.022,1.031,0.933,1.008,0.933,0.883,0.935
Joint 4: ,0.9,0.947,0.869,0.847,0.848,0.895,0.873,0.892,0.905,0.892
Joint 5: ,0.9,0.827,0.906,0.906,0.894,0.816,0.862,0.799,0.761,0.784
Joint 6: ,0.0,0.047,0.126,0.139,0.139,0.186,0.409,0.44,0.44,0.456
Trial,8,Sim Type,5,Distance Weight,1,Random Seed,120,Min Iterations,2500,Distance cost,0.4748394986651758,Manip Cost,0.4166666666666667,Total cost,0.4748394986651758,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,4.311054169e-11,6.128242606e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.061,0.072,0.008
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.26829,0.313,0.34911,0.40396,0.46804,0.47484
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.175,-0.153,-0.088,-0.044,-0.006,0.055,0.136,0.183,0.24,0.281,0.282
Joint 1: ,0.4,0.344,0.278,0.356,0.433,0.429,0.535,0.629,0.678,0.742,0.877,0.886
Joint 2: ,0.4,0.416,0.404,0.421,0.433,0.456,0.449,0.403,0.416,0.348,0.318,0.316
Joint 3: ,0.9,0.977,1.083,1.091,1.103,1.166,1.106,1.033,1.029,1.047,0.953,0.957
Joint 4: ,0.9,0.884,0.833,0.871,0.871,0.839,0.857,0.92,0.923,0.915,0.937,0.936
Joint 5: ,0.9,0.964,1.046,0.984,0.962,1.01,0.945,0.853,0.836,0.845,0.76,0.76
Joint 6: ,0.0,0.016,0.063,0.11,0.11,0.141,0.173,0.236,0.236,0.44,0.44,0.44
Trial,9,Sim Type,5,Distance Weight,1,Random Seed,135,Min Iterations,2500,Distance cost,0.44221091228869835,Manip Cost,0.6363636363636364,Total cost,0.44221091228869835,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1e-20,2.598260679e-11,1e-20,1e-20,5.80653908e-11,1e-20,6.211478516e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.07,0.043,0.05,0.054,0.032,0.064,0.049,0.032
Total Cost,0.0,0.04471,0.08943,0.15193,0.18996,0.23478,0.28345,0.31204,0.36934,0.41351,0.44221
Local Manip Cost,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.154,-0.113,-0.026,0.011,0.077,0.13,0.126,0.19,0.231,0.229
Joint 1: ,0.4,0.422,0.472,0.519,0.55,0.604,0.72,0.741,0.871,0.894,0.921
Joint 2: ,0.4,0.42,0.433,0.44,0.453,0.482,0.512,0.503,0.496,0.437,0.428
Joint 3: ,0.9,0.947,0.984,1.04,1.077,1.058,1.0,1.041,0.89,0.919,0.946
Joint 4: ,0.9,0.887,0.881,0.891,0.885,0.92,0.962,0.951,1.019,0.943,0.936
Joint 5: ,0.9,0.94,0.945,0.922,0.933,0.955,0.889,0.904,0.758,0.782,0.788
Joint 6: ,0.0,0.016,0.016,0.063,0.063,-0.237,-0.237,-0.237,-0.362,-0.299,-0.3
Trial,10,Sim Type,5,Distance Weight,1,Random Seed,150,Min Iterations,2500,Distance cost,0.4121002327126022,Manip Cost,0.6666666666666666,Total cost,0.4121002327126022,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20,1e-20,4.118260955e-11,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.065,0.05,0.05,0.058,0.047,0.068,0.072
Total Cost,0.0,0.04471,0.10295,0.14767,0.19238,0.24456,0.28697,0.34787,0.4121
Local Manip Cost,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.143,-0.07,0.006,0.061,0.135,0.13,0.191,0.226
Joint 1: ,0.4,0.46,0.49,0.578,0.661,0.764,0.795,0.877,0.91
Joint 2: ,0.4,0.42,0.407,0.427,0.433,0.441,0.415,0.431,0.435
Joint 3: ,0.9,0.911,0.975,0.919,0.891,0.835,0.888,0.88,0.965
Joint 4: ,0.9,0.903,0.903,0.95,0.958,1.001,1.009,0.946,0.93
Joint 5: ,0.9,0.888,0.929,0.87,0.828,0.753,0.78,0.718,0.754
Joint 6: ,0.0,0.031,0.126,0.173,0.173,0.204,0.307,0.11,0.11
Trial,11,Sim Type,5,Distance Weight,1,Random Seed,165,Min Iterations,2500,Distance cost,0.4351817866089134,Manip Cost,0.7,Total cost,0.4351817866089134,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,2.40027878e-11,1e-20,1e-20,1.0,2.58469056e-11,1e-20,1e-20,4.287599716e-11,4.436688484e-11
Distance to Last Node,0.0,0.05,0.074,0.036,0.05,0.073,0.073,0.045,0.056,0.029
Total Cost,0.0,0.04471,0.11123,0.1434,0.18811,0.2535,0.31881,0.35949,0.4096,0.43518
Local Manip Cost,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.121,-0.068,-0.043,-0.009,0.032,0.092,0.183,0.195,0.228
Joint 1: ,0.4,0.484,0.528,0.515,0.47,0.545,0.638,0.714,0.85,0.911
Joint 2: ,0.4,0.426,0.443,0.458,0.382,0.4,0.381,0.337,0.422,0.425
Joint 3: ,0.9,0.859,0.936,0.983,1.091,1.17,1.203,1.116,1.04,0.972
Joint 4: ,0.9,0.963,0.945,0.929,0.85,0.867,0.854,0.861,0.947,0.967
Joint 5: ,0.9,0.837,0.879,0.917,0.995,0.968,0.958,0.901,0.808,0.757
Joint 6: ,0.0,0.063,0.11,0.11,0.189,0.204,0.283,0.471,0.377,0.361
