Trial,1,Sim Type,6,Distance Weight,0.8,Random Seed,15,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,2,Sim Type,6,Distance Weight,0.8,Random Seed,30,Min Iterations,1000,Distance cost,0.4047630405989708,Manip Cost,0.12811051462567516,Total cost,0.3225934779121317,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.017893844975991245,0.03930695137757044,0.017920412488632666,0.05093539343882062,0.03205002874604703
Distance to Last Node,0.0,0.093,0.091,0.107,0.122,0.114
Total Cost,0.0,0.05421,0.12292,0.19287,0.25447,0.32259
Joint 0: ,0.0,-0.513,-0.585,-0.687,-0.791,-0.667
Joint 1: ,-0.7,-0.215,-0.446,-0.13,0.097,0.326
Joint 2: ,0.0,0.431,0.402,0.562,0.596,0.408
Joint 3: ,1.5,1.501,1.755,1.674,1.618,1.443
Joint 4: ,0.0,-0.421,-0.492,-0.882,-0.767,-0.849
Joint 5: ,1.5,2.378,1.38,1.424,1.194,1.05
Joint 6: ,0.0,-1.276,-2.596,-2.565,-2.723,-2.786
Trial,3,Sim Type,6,Distance Weight,0.8,Random Seed,45,Min Iterations,1000,Distance cost,0.4668781061049798,Manip Cost,0.3547214247779299,Total cost,0.3600406224497146,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.04214648257129652,0.0506362645857126,6.43400070905345e-06,5.6619386639687e-06,7.417169618586e-06,8.1077629503153e-06,8.96349754278719e-06
Distance to Last Node,0.0,0.05,0.097,0.094,0.096,0.099,0.102,0.068
Total Cost,0.0,0.02924,0.09403,0.16488,0.23379,0.29855,0.3536,0.36004
Joint 0: ,0.0,0.314,0.212,0.043,0.088,0.001,0.21,0.158
Joint 1: ,-0.7,-0.354,0.093,0.342,0.29,0.478,0.366,0.384
Joint 2: ,0.0,-0.244,-0.54,-0.636,-0.656,-0.528,-0.775,-0.832
Joint 3: ,1.5,1.378,1.232,1.456,1.476,1.366,1.467,1.461
Joint 4: ,0.0,-0.007,-0.321,-0.18,-0.227,-0.164,0.03,-0.143
Joint 5: ,1.5,1.176,0.603,0.779,0.827,0.655,0.813,0.791
Joint 6: ,0.0,-0.314,-0.88,-1.115,-1.288,-1.414,-1.854,-1.901
