Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,2000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,2,Sim Type,5,Distance Weight,1,Random Seed,30,Min Iterations,2000,Distance cost,0.39861574288349916,Manip Cost,0.6,Total cost,0.3786849557393242,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.098,0.089,0.123,0.071
Total Cost,0.0,0.09764,0.18561,0.30776,0.37868
Joint 0: ,-0.3,0.029,0.122,0.169,0.274
Joint 1: ,0.3,0.367,0.513,0.742,0.877
Joint 2: ,0.4,0.216,0.266,0.428,0.379
Joint 3: ,1.2,1.217,1.145,1.06,0.919
Joint 4: ,0.5,0.434,0.422,0.627,0.705
Joint 5: ,1.2,1.103,0.963,0.889,0.76
Joint 6: ,0.0,-0.243,-1.382,-1.147,-1.116
Trial,3,Sim Type,5,Distance Weight,1,Random Seed,45,Min Iterations,2000,Distance cost,0.40121219886054693,Manip Cost,0.623260009377512,Total cost,0.38115158891751955,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.06870676982376944,4.047484983e-11,0.0
Distance to Last Node,0.0,0.04,0.119,0.114,0.11
Total Cost,0.0,0.03982,0.15817,0.27155,0.38115
Joint 0: ,-0.3,-0.243,-0.104,0.078,0.304 
Joint 1: ,0.3,0.363,0.462,0.69,0.849
Joint 2: ,0.4,0.397,0.464,0.429,0.294
Joint 3: ,1.2,1.205,1.335,1.165,1.017
Joint 4: ,0.5,0.547,0.62,0.732,0.943
Joint 5: ,1.2,1.201,0.874,0.788,0.642
Joint 6: ,0.0,0.204,0.88,1.052,2.278
Trial,4,Sim Type,5,Distance Weight,1,Random Seed,60,Min Iterations,2000,Distance cost,0.555677805107335,Manip Cost,0.3704436384818747,Total cost,0.5278939148519682,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,1.0,0.07681103814520686,4.237952234e-11,0.07726059638472234
Distance to Last Node,0.0,0.115,0.121,0.123,0.05,0.123
Total Cost,0.0,0.11425,0.23403,0.35591,0.40553,0.52789
Joint 0: ,-0.3,0.297,0.118,0.318,0.339,0.32
Joint 1: ,0.3,0.74,0.208,0.627,0.869,0.823
Joint 2: ,0.4,0.79,0.298,0.201,0.265,0.257
Joint 3: ,1.2,0.879,1.413,1.246,0.963,1.109
Joint 4: ,0.5,1.319,0.675,1.01,1.261,1.229
Joint 5: ,1.2,0.611,1.166,0.745,0.48,0.536
Joint 6: ,0.0,1.093,1.706,2.381,2.613,2.645
Trial,5,Sim Type,5,Distance Weight,1,Random Seed,75,Min Iterations,2000,Distance cost,0.42478487217810745,Manip Cost,0.8,Total cost,0.40354562856920206,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.093,0.121,0.104,0.088
Total Cost,0.0,0.09275,0.21275,0.31603,0.40355
Joint 0: ,-0.3,0.004,0.123,0.388,0.411
Joint 1: ,0.3,0.419,0.525,0.716,0.892
Joint 2: ,0.4,0.169,0.294,0.03,0.096
Joint 3: ,1.2,1.205,1.209,0.92,0.785
Joint 4: ,0.5,0.474,0.508,0.534,0.68
Joint 5: ,1.2,1.202,1.167,1.101,0.948
Joint 6: ,0.0,-1.021,-1.178,-2.307,-2.245
Trial,6,Sim Type,5,Distance Weight,1,Random Seed,90,Min Iterations,2000,Distance cost,0.407166444623408,Manip Cost,0.8,Total cost,0.3868081223922376,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.099,0.056,0.121,0.113
Total Cost,0.0,0.0987,0.15442,0.27421,0.38681
Joint 0: ,-0.3,0.032,-0.039,0.111,0.259
