File,Number of States Under 0.01 Manipulability,Average Total Joint Norm Distance
reach_agg_manip_cost_mpc_weight0.9_contactsamplechance0.0_objreduction0.02_Min Iterations2500.csv,2320.625,6638.18910537822
reach_agg_manip_cost_mpc_weight0.7_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,1946.9259259259259,4677.34298948119
reach_agg_manip_cost_mpc_weight0.9_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,2181.0714285714284,4659.371465781683
reach_agg_manip_cost_mpc_weight1_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,2318.785714285714,4898.476047189726
reach_agg_manip_cost_mpc_weight0.8_contactsamplechance0.0_objreduction0.02_Min Iterations2500.csv,2207.9615384615386,6566.963215384312
mink_mpc_no_planning_ee.csv,925.1333333333333,705.9489923612605
reach_agg_manip_cost_mpc_weight0.97_contactsamplechance0.0_objreduction0.02_Min Iterations2500.csv,2378.9545454545455,6411.814343308046
reach_agg_manip_cost_mpc_weight0.7_contactsamplechance0.0_objreduction0.02_Min Iterations2500.csv,1988.3461538461538,6690.261092002672
reach_agg_manip_cost_mpc_weight0.95_contactsamplechance0.0_objreduction0.02_Min Iterations2500.csv,2388.090909090909,6432.436329855896
reach_agg_manip_cost_mpc_weight0.95_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,2222.1785714285716,4767.897289832011
reach_agg_manip_cost_mpc_weight0.8_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,2035.4444444444443,4613.838816205334
reach_agg_manip_cost_mpc_weight0.97_contactsamplechance0.0_objreduction0.0_Min Iterations2500.csv,2253.285714285714,4811.863592069109
