Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,4000,Distance cost,0.6564161648985269,Manip Cost,0.18339288430897444,Total cost,0.6235953566536006,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.783914249e-11,0.07636892186755777,0.07476452539593059,0.0,0.039050602172529425,0.03826656604666589,0.03373732245841446,0.039591399427733334,0.03984442635613031
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.013,0.025,0.028,0.013
Total Cost,0.0,0.04962,0.09924,0.14886,0.19848,0.2481,0.29772,0.34734,0.39695,0.44657,0.49619,0.54581,0.55858,0.5831,0.61063,0.6236
Joint 0: ,-0.3,-0.069,-0.153,-0.017,0.224,0.254,0.459,0.406,0.36,0.21,0.256,0.726,0.58,0.79,0.839,0.718
Joint 1: ,0.3,0.421,0.386,0.392,0.488,0.393,0.525,0.635,0.567,0.734,0.825,0.866,0.854,0.957,0.895,0.846
Joint 2: ,0.4,0.329,0.337,0.3,0.211,0.249,0.122,0.252,0.232,0.514,0.455,-0.246,0.094,-0.421,-0.59,-0.258
Joint 3: ,1.2,1.025,1.249,1.256,1.089,1.361,1.044,0.941,1.345,1.224,1.067,0.941,0.929,0.739,0.975,0.983
Joint 4: ,0.5,0.182,0.412,0.372,0.097,0.149,0.001,0.087,0.168,0.225,0.18,0.11,-0.412,-0.168,0.304,-0.373
Joint 5: ,1.2,1.354,1.267,1.224,1.362,0.756,1.092,1.062,0.178,0.15,0.515,0.473,0.544,0.692,0.22,0.294
Joint 6: ,0.0,0.253,0.391,0.696,0.996,0.923,1.291,1.057,1.083,1.008,1.021,1.821,0.454,1.721,2.673,1.546
Trial,2,Sim Type,5,Distance Weight,1,Random Seed,30,Min Iterations,4000,Distance cost,0.6910678413112623,Manip Cost,0.5781232060364768,Total cost,0.6565144492456991,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,1.0,1.0,4.000106287e-11,4.121475814e-11,0.0,0.0,4.082512697e-11,0.07563395399115756,4.041696795e-11,0.0,0.04183793386979657,0.0
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.009,0.023
Total Cost,0.0,0.04962,0.09924,0.14886,0.19848,0.2481,0.29772,0.34734,0.39695,0.44657,0.49619,0.54581,0.59543,0.62527,0.63405,0.65651
Joint 0: ,-0.3,-0.237,-0.139,0.019,0.208,0.049,-0.114,0.021,0.012,0.184,0.389,0.207,0.551,0.626,0.361,0.556
Joint 1: ,0.3,0.357,0.42,0.501,0.332,0.441,0.663,0.777,0.765,0.862,0.855,0.82,0.884,1.003,0.835,0.935
Joint 2: ,0.4,0.43,0.379,0.309,0.177,0.344,0.584,0.6,0.567,0.489,0.141,0.605,-0.138,-0.444,0.293,0.168
Joint 3: ,1.2,1.178,1.023,0.88,1.226,1.242,1.161,0.987,1.133,0.762,0.687,1.245,0.863,0.439,1.131,0.693
Joint 4: ,0.5,0.6,0.728,0.624,0.443,0.588,0.773,0.703,0.911,0.668,0.465,0.528,0.423,0.348,0.149,-0.626
Joint 5: ,1.2,1.222,1.528,1.498,0.945,0.918,1.453,1.563,1.169,1.319,1.273,-0.024,0.551,1.14,-0.098,0.742
Joint 6: ,0.0,0.205,1.12,1.49,1.654,1.074,0.784,0.828,0.953,0.93,1.741,1.03,1.397,2.181,1.235,0.129
Trial,3,Sim Type,5,Distance Weight,1,Random Seed,45,Min Iterations,4000,Distance cost,0.5820905741189792,Manip Cost,0.5900876123491267,Total cost,0.5529860454130302,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,1.0,0.0,0.0,3.879071792e-11,0.0,4.11781219e-11,0.06741318304418442,6.219111558e-11,0.0,5.715716442e-11,0.03622341883444497
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.024,0.019,0.015
Total Cost,0.0,0.04962,0.09924,0.14886,0.19848,0.2481,0.29772,0.34734,0.39695,0.44657,0.49619,0.52018,0.53854,0.55299
Joint 0: ,-0.3,0.058,0.228,0.338,0.333,0.29,0.059,0.396,0.351,0.726,0.219,0.294,0.618,0.823
Joint 1: ,0.3,0.332,0.368,0.392,0.628,0.65,0.613,0.617,0.763,0.916,0.893,0.844,0.884,0.938
Joint 2: ,0.4,0.312,0.273,0.222,0.343,0.383,0.66,0.202,0.412,-0.16,0.55,0.307,-0.168,-0.713
Joint 3: ,1.2,1.087,1.084,1.197,0.716,0.818,1.097,1.138,0.845,0.836,1.017,1.066,0.757,0.84
Joint 4: ,0.5,-0.333,-0.519,-0.709,-0.578,-0.485,-0.13,-0.493,-0.392,-1.305,-2.857,-2.014,-2.913,-2.411
Joint 5: ,1.2,1.055,1.181,0.974,1.389,1.27,0.757,0.453,0.682,0.851,-0.264,-0.464,-0.692,-0.579
Joint 6: ,0.0,-0.319,-0.224,-0.074,-0.474,-0.389,-0.438,-0.124,-0.332,-0.866,-0.867,0.975,0.427,2.538
Trial,4,Sim Type,5,Distance Weight,1,Random Seed,60,Min Iterations,4000,Distance cost,0.6662931779059813,Manip Cost,0.4434320789192587,Total cost,0.6329785190106823,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,1.0,0.05655064184762092,0.06638408419856702,0.0,4.117315971e-11,4.408330612e-11,0.0,0.0,0.03203456877075101,0.03858135794518298,4.316644557e-11,0.0658703943851444
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.033,0.005
Total Cost,0.0,0.04962,0.09924,0.14886,0.19848,0.2481,0.29772,0.34734,0.39695,0.44657,0.49619,0.54581,0.59543,0.62784,0.63298
Joint 0: ,-0.3,-0.302,-0.165,-0.262,-0.41,-0.268,-0.186,-0.023,0.041,0.402,0.46,0.688,0.532,0.3,0.643
Joint 1: ,0.3,0.303,0.338,0.367,0.503,0.696,0.864,0.762,0.868,0.875,0.844,0.96,0.897,0.885,0.952
Joint 2: ,0.4,0.477,0.474,0.632,0.866,0.875,0.946,0.666,0.706,0.169,0.176,-0.248,0.033,0.489,0.158
Joint 3: ,1.2,1.231,1.199,1.372,1.628,1.386,1.332,1.254,1.083,0.672,0.919,0.692,0.914,0.894,0.816
Joint 4: ,0.5,0.651,0.529,0.917,1.474,1.31,1.348,1.108,1.157,0.572,0.601,0.215,-0.043,-0.139,1.764
Joint 5: ,1.2,1.196,1.071,0.968,0.764,0.941,0.971,0.858,0.828,1.06,0.545,0.479,0.253,0.517,-0.88
Joint 6: ,0.0,-0.065,-0.037,-0.238,-1.183,-1.019,-1.424,-0.745,-0.794,-0.04,-0.226,-0.223,-0.996,-1.578,-0.609
Trial,5,Sim Type,5,Distance Weight,1,Random Seed,75,Min Iterations,4000,Distance cost,0.6937073083714554,Manip Cost,0.8075670391375662,Total cost,0.6590219429528826,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,4.116055363e-11,0.07327302636048443,0.0,0.0,6.158801425e-11,5.809469195e-11,4.022829244e-11,0.0,0.0,0.0,3.991090142e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.014
Total Cost,0.0,0.04962,0.09924,0.14886,0.19848,0.2481,0.29772,0.34734,0.39695,0.44657,0.49619,0.54581,0.59543,0.64505,0.65902
Joint 0: ,-0.3,-0.345,-0.147,-0.239,-0.225,-0.214,-0.132,0.044,0.14,0.297,0.393,0.277,0.432,0.644,0.633
Joint 1: ,0.3,0.486,0.732,0.789,0.759,0.658,0.888,0.846,0.862,0.744,0.895,0.812,0.928,0.931,0.912
