Trial,1,Sim Type,5,Distance Weight,0.5,Random Seed,15,Min Iterations,2500,Distance cost,0.5360007846316591,Manip Cost,0.10333206004842707,Total cost,0.3196664223400431,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06940297720344422,0.07163012344071477,0.07419222458407486,1e-20,4.39825049e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.041,0.05,0.05,0.058
Total Cost,0.0,0.02236,0.04471,0.06707,0.08943,0.11179,0.13414,0.1565,0.17886,0.20297,0.23001,0.2562,0.31967
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11586218990654022,0.11449043004178813,0.11296416068122346,1.0
Joint 0: ,-0.2,-0.158,-0.088,-0.059,0.007,0.039,0.056,0.045,0.095,0.145,0.161,0.225,0.256
Joint 1: ,0.4,0.447,0.476,0.465,0.478,0.46,0.436,0.461,0.524,0.603,0.687,0.784,0.903
Joint 2: ,0.4,0.414,0.446,0.462,0.496,0.518,0.532,0.5,0.481,0.442,0.42,0.379,0.373
Joint 3: ,0.9,0.937,0.925,1.003,0.997,1.072,1.163,1.226,1.262,1.204,1.186,1.087,0.946
Joint 4: ,0.9,0.895,0.942,0.895,0.911,0.892,0.831,0.792,0.78,0.81,0.812,0.859,0.921
Joint 5: ,0.9,0.907,0.891,0.947,0.938,0.985,1.048,1.105,1.06,0.999,0.965,0.887,0.781
Joint 6: ,0.0,-0.0,0.047,0.094,0.11,0.11,0.079,0.078,0.046,-0.001,-0.032,-0.079,-0.147
Trial,2,Sim Type,5,Distance Weight,0.5,Random Seed,30,Min Iterations,2500,Distance cost,0.5579061443646632,Manip Cost,0.25928890733187376,Total cost,0.4085975258482685,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5580508e-11,3.988330573e-11,1e-20,0.07679467736994441,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.056,0.067,0.06,0.067,0.074
Total Cost,0.0,0.02236,0.04471,0.06707,0.08943,0.11179,0.13414,0.15899,0.24437,0.31564,0.38202,0.4086
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.11146688798248484
Joint 0: ,-0.2,-0.143,-0.181,-0.145,-0.071,0.002,0.013,0.065,0.094,0.112,0.151,0.228
Joint 1: ,0.4,0.405,0.312,0.3,0.344,0.393,0.459,0.535,0.658,0.715,0.818,0.905
Joint 2: ,0.4,0.432,0.472,0.487,0.527,0.558,0.547,0.5,0.495,0.454,0.465,0.432
Joint 3: ,0.9,0.932,1.012,1.09,1.097,1.112,1.143,1.146,1.137,1.18,1.184,0.978
