Trial,1,Sim Type,5,Distance Weight,0.5,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.5,Random Seed,30,Min Iterations,2500,Distance cost,7.6683008197335925,Manip Cost,2.621133418688854,Total cost,5.144717119211223,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,2.109990775e-11,1.0,1.0,1.0,1e-20,2.389100161e-11,1e-20,1e-20,4.080718145e-11,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.075,0.05,0.034,0.05,0.05,0.05,0.066,0.05
Total Cost,0.0,0.46822,0.93741,1.27075,1.7688,2.10213,2.46172,2.93579,3.44642,4.01744,4.62893,5.14472
Local Manip Cost,0.0,0.26978168787891665,0.2717116781395046,0.0,0.0,0.0,0.2650222666304119,0.2814642102715239,0.3545920360197466,0.47538150324814527,0.3382714789822522,0.3649085575183532
Joint 0: ,-0.2,-0.143,-0.181,-0.145,-0.043,0.029,0.085,0.152,0.18,0.177,0.19,0.242
Joint 1: ,0.4,0.405,0.312,0.3,0.326,0.428,0.48,0.577,0.676,0.715,0.793,0.871
Joint 2: ,0.4,0.432,0.472,0.487,0.464,0.486,0.507,0.48,0.463,0.45,0.449,0.404
Joint 3: ,0.9,0.932,1.012,1.09,1.192,1.153,1.114,1.067,0.965,1.018,1.051,1.004
Joint 4: ,0.9,0.9,0.868,0.821,0.805,0.837,0.868,0.884,0.95,0.935,0.915,0.917
Joint 5: ,0.9,0.917,0.996,1.054,1.085,1.028,0.989,0.933,0.848,0.864,0.773,0.695
Joint 6: ,0.0,0.0,0.063,0.047,-0.063,-0.094,-0.094,-0.142,-0.189,-0.189,-0.204,-0.251
Trial,3,Sim Type,5,Distance Weight,0.5,Random Seed,45,Min Iterations,2500,Distance cost,8.208123532694225,Manip Cost,1.4961527153635927,Total cost,4.852138124028909,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1e-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.448176935e-11,1e-20,1e-20,4.115026113e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.026,0.066,0.071,0.05,0.068,0.034
Total Cost,0.0,0.46822,0.80156,1.13489,1.46822,1.80156,2.13489,2.309,2.75107,3.35647,3.82335,4.43353,4.85214
Local Manip Cost,0.0,0.26978168787891665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2663389568842845,0.2671102842303831,0.3112480597680838,0.38167372660192467
Joint 0: ,-0.2,-0.218,-0.181,-0.134,-0.094,-0.046,-0.014,0.008,0.068,0.056,0.115,0.256,0.306
Joint 1: ,0.4,0.299,0.279,0.26,0.215,0.301,0.343,0.365,0.499,0.628,0.723,0.814,0.877
Joint 2: ,0.4,0.393,0.42,0.458,0.442,0.463,0.475,0.484,0.429,0.439,0.396,0.326,0.302
Joint 3: ,0.9,1.01,1.084,1.113,1.208,1.226,1.289,1.32,1.258,1.209,1.131,1.002,0.939
Joint 4: ,0.9,0.803,0.784,0.8,0.737,0.739,0.708,0.699,0.755,0.716,0.736,0.776,0.814
