Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,2500,Distance cost,0.5003010888777797,Manip Cost,0.45454545454545453,Total cost,0.5003010888777797,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,4.239424121e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.051,0.05,0.069,0.064,0.07,0.056,0.032,0.067
Total Cost,0.0,0.04471,0.08943,0.13462,0.17933,0.24148,0.2991,0.36187,0.41159,0.44031,0.5003
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.158,-0.088,-0.064,-0.033,0.012,0.011,0.115,0.14,0.166,0.274
Joint 1: ,0.4,0.447,0.476,0.453,0.43,0.552,0.603,0.736,0.816,0.831,0.895
Joint 2: ,0.4,0.414,0.446,0.462,0.423,0.418,0.334,0.319,0.313,0.337,0.326
Joint 3: ,0.9,0.937,0.925,1.012,1.106,1.098,1.126,0.99,0.988,1.005,0.953
Joint 4: ,0.9,0.895,0.942,0.893,0.83,0.847,0.858,0.936,0.936,0.934,0.978
Joint 5: ,0.9,0.907,0.891,0.955,1.034,0.997,0.968,0.862,0.839,0.844,0.79
Joint 6: ,0.0,-0.0,0.047,0.094,0.157,0.204,0.66,0.628,0.628,0.613,0.628
Trial,2,Sim Type,5,Distance Weight,1,Random Seed,30,Min Iterations,2500,Distance cost,0.6663463355048872,Manip Cost,0.8125,Total cost,0.6663463355048872,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,2.716013725e-11,1e-20,1e-20,1e-20,1e-20,4.265145181e-11,1e-20,1e-20,1e-20,4.121371394e-11,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.074,0.05,0.035,0.035,0.051
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.26829,0.313,0.35771,0.40243,0.44714,0.51372,0.55843,0.5898,0.62083,0.66635
Local Manip Cost,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.143,-0.064,0.028,0.068,0.077,0.055,0.072,0.062,0.011,0.01,0.083,0.109,0.145,0.18,0.217
Joint 1: ,0.4,0.405,0.49,0.6,0.686,0.756,0.799,0.864,0.826,0.783,0.817,0.807,0.777,0.83,0.882,0.912
Joint 2: ,0.4,0.432,0.456,0.477,0.474,0.462,0.443,0.435,0.372,0.325,0.314,0.357,0.38,0.42,0.459,0.456
Joint 3: ,0.9,0.932,0.894,0.77,0.732,0.714,0.731,0.728,0.85,0.957,1.015,1.042,0.995,0.968,0.941,0.984
Joint 4: ,0.9,0.9,0.962,1.057,1.064,1.066,1.06,1.06,0.997,0.95,0.935,0.928,0.955,0.967,0.98,0.956
Joint 5: ,0.9,0.917,0.854,0.746,0.697,0.665,0.661,0.641,0.735,0.81,0.84,0.867,0.823,0.768,0.714,0.722
Joint 6: ,0.0,0.0,0.063,0.157,0.157,0.157,0.157,0.157,0.22,0.267,0.267,0.267,0.283,-0.055,-0.393,-0.408
Trial,3,Sim Type,5,Distance Weight,1,Random Seed,45,Min Iterations,2500,Distance cost,0.5442617437158649,Manip Cost,0.3333333333333333,Total cost,0.5442617437158649,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.053,0.056,0.059
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.26829,0.33124,0.39427,0.4419,0.49178,0.54426
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.218,-0.181,-0.134,-0.094,-0.046,-0.02,0.005,0.124,0.13,0.188,0.234
Joint 1: ,0.4,0.299,0.279,0.26,0.215,0.301,0.394,0.507,0.618,0.716,0.804,0.906
Joint 2: ,0.4,0.393,0.42,0.458,0.442,0.463,0.427,0.381,0.384,0.431,0.441,0.424
Joint 3: ,0.9,1.01,1.084,1.113,1.208,1.226,1.166,1.15,1.037,1.039,1.015,0.963
Joint 4: ,0.9,0.803,0.784,0.8,0.737,0.739,0.754,0.771,0.827,0.869,0.906,0.909
Joint 5: ,0.9,1.01,1.059,1.08,1.155,1.113,1.051,1.002,0.896,0.843,0.8,0.745
Joint 6: ,0.0,0.079,0.094,0.11,0.047,0.016,-0.031,-0.063,-0.206,-0.369,-0.353,-0.353
Trial,4,Sim Type,5,Distance Weight,1,Random Seed,60,Min Iterations,2500,Distance cost,0.5156873694470554,Manip Cost,0.4166666666666667,Total cost,0.5156873694470554,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,4.089726817e-11,4.114983569e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.054,0.048,0.075
Total Cost,0.0,0.04471,0.08943,0.13414,0.17886,0.22357,0.26829,0.313,0.35786,0.40602,0.44868,0.51569
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.166,-0.09,-0.064,-0.039,0.041,0.096,0.118,0.185,0.236,0.249,0.25
Joint 1: ,0.4,0.36,0.419,0.375,0.379,0.476,0.532,0.581,0.612,0.723,0.815,0.913
Joint 2: ,0.4,0.427,0.458,0.474,0.436,0.461,0.478,0.474,0.446,0.427,0.419,0.383
Joint 3: ,0.9,0.941,0.933,1.012,1.09,1.026,1.047,1.096,1.129,1.045,0.957,0.934
Joint 4: ,0.9,0.916,0.963,0.916,0.867,0.889,0.888,0.876,0.845,0.91,0.949,0.928
Joint 5: ,0.9,0.937,0.911,0.979,1.058,0.987,0.98,0.99,1.015,0.925,0.848,0.806
Joint 6: ,0.0,0.0,0.047,0.047,0.046,-0.001,-0.032,-0.032,-0.174,-0.237,-0.268,-0.237
Trial,5,Sim Type,5,Distance Weight,1,Random Seed,75,Min Iterations,2500,Distance cost,0.4368224877495448,Manip Cost,0.5,Total cost,0.4368224877495448,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.066,0.05,0.05,0.05,0.05,0.069,0.053
Total Cost,0.0,0.04471,0.08943,0.14862,0.19334,0.23805,0.28276,0.32748,0.38938,0.43682
Local Manip Cost,0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
Joint 0: ,-0.2,-0.214,-0.162,-0.074,-0.048,0.006,0.063,0.129,0.186,0.245
Joint 1: ,0.4,0.302,0.357,0.438,0.502,0.563,0.644,0.685,0.809,0.91
Joint 2: ,0.4,0.403,0.427,0.354,0.353,0.373,0.386,0.411,0.396,0.399
