Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,2500,Distance cost,0.6027643419789939,Manip Cost,0.010637822319448523,Total cost,0.6027643419789939,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06521874697972822,0.039812925843255666
Distance to Last Node,0.0,0.06,0.113,0.086,0.04,0.053,0.104,0.086,0.114,0.1
Total Cost,0.0,0.04789,0.13784,0.20658,0.23829,0.28036,0.36337,0.43226,0.52313,0.60276
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10637822319448523
Joint 0: ,-0.3,-0.455,-0.723,-0.801,-0.879,-1.085,-1.584,-1.654,-1.95,-2.026
Joint 1: ,-1.0,-0.977,-0.847,-0.543,-0.239,-0.261,-0.319,-0.52,-0.655,-0.916
Joint 2: ,0.2,0.27,0.545,0.863,1.181,1.354,1.828,1.892,2.195,2.154
Joint 3: ,1.7,1.796,1.687,1.561,1.436,1.44,1.539,1.425,1.388,1.169
Joint 4: ,0.2,0.261,0.415,0.382,0.349,0.253,0.544,0.67,0.861,1.047
Joint 5: ,1.2,1.059,1.145,1.259,1.374,1.16,0.869,0.808,0.507,0.289
Joint 6: ,0.0,0.62,0.942,0.0,-0.942,-1.704,-2.652,-2.839,-3.162,-3.278
Trial,2,Sim Type,5,Distance Weight,1,Random Seed,30,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,3,Sim Type,5,Distance Weight,1,Random Seed,45,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,4,Sim Type,5,Distance Weight,1,Random Seed,60,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,5,Sim Type,5,Distance Weight,1,Random Seed,75,Min Iterations,2500,Distance cost,0.6511961117315761,Manip Cost,0.040272115491817896,Total cost,0.6511961117315761,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05529182302219546,0.062322281817173884,0.07052198814458628,0.0
Distance to Last Node,0.0,0.118,0.046,0.036,0.038,0.039,0.075,0.05,0.048,0.043,0.092,0.052,0.088,0.091
Total Cost,0.0,0.0941,0.13107,0.15979,0.18971,0.22093,0.28075,0.32096,0.35947,0.39347,0.46669,0.50792,0.57848,0.6512
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07523779186343864,0.21577470376726232,0.2727971212547495
Joint 0: ,-0.3,-0.412,-0.436,-0.494,-0.551,-0.609,-0.671,-0.733,-0.628,-0.522,-0.306,-0.191,-0.016,0.111
Joint 1: ,-1.0,-0.883,-0.827,-0.719,-0.611,-0.503,-0.374,-0.245,0.029,0.303,0.38,0.522,0.704,0.913
Joint 2: ,0.2,0.331,0.433,0.56,0.688,0.815,0.852,0.89,0.939,0.988,0.807,0.789,0.724,0.754
Joint 3: ,1.7,1.967,1.865,1.785,1.705,1.625,1.698,1.771,1.638,1.505,1.528,1.428,1.309,1.141
Joint 4: ,0.2,0.561,0.358,0.187,0.015,-0.156,0.146,0.449,0.387,0.326,0.463,0.508,0.618,0.728
Joint 5: ,1.2,1.245,1.288,1.301,1.314,1.327,1.106,0.884,0.973,1.061,0.613,0.53,0.447,0.3
Joint 6: ,0.0,0.911,-0.047,-1.006,-1.964,-2.923,-2.219,-1.515,-2.136,-2.757,-2.919,-2.919,-2.948,-2.91
