Trial,1,Sim Type,5,Distance Weight,0.95,Random Seed,15,Min Iterations,2500,Distance cost,0.3754147407214803,Manip Cost,0.25,Total cost,0.3691440036854063,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.098,0.221,0.101
Total Cost,0.0,0.08314,0.2706,0.36914
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.115,0.149,0.199
Joint 1: ,0.4,0.472,0.713,0.925
Joint 2: ,0.4,0.472,0.38,0.469
Joint 3: ,0.9,0.969,1.03,0.955
Joint 4: ,0.9,0.887,0.829,0.933
Joint 5: ,0.9,0.947,0.936,0.822
Joint 6: ,0.0,0.304,0.498,0.655
Trial,2,Sim Type,5,Distance Weight,0.95,Random Seed,30,Min Iterations,2500,Distance cost,0.37940697485582164,Manip Cost,0.25,Total cost,0.3729366261130306,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.118,0.162,0.144
Total Cost,0.0,0.10057,0.23787,0.37294
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.13,0.055,0.253
Joint 1: ,0.4,0.467,0.721,0.907
Joint 2: ,0.4,0.437,0.442,0.363
Joint 3: ,0.9,1.061,1.015,0.958
Joint 4: ,0.9,0.947,0.958,1.012
Joint 5: ,0.9,0.98,0.91,0.792
Joint 6: ,0.0,0.11,0.644,0.487
Trial,3,Sim Type,5,Distance Weight,0.95,Random Seed,45,Min Iterations,2500,Distance cost,0.3885783118329693,Manip Cost,0.0,Total cost,0.3691493962413208,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1e-20
Distance to Last Node,0.0,0.11,0.109,0.216
Total Cost,0.0,0.09354,0.18585,0.36915
