Trial,1,Sim Type,5,Distance Weight,0.97,Random Seed,15,Min Iterations,2500,Distance cost,0.41426236034376673,Manip Cost,0.12488156001388975,Total cost,0.4033865014278967,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,4.092495247e-11,0.0
Distance to Last Node,0.0,0.123,0.103,0.083,0.087
Total Cost,0.0,0.12512,0.22941,0.31437,0.40339
Local Manip Cost,0.0,0.0,0.0,0.2820636438944801,0.34234415617496866
Joint 0: ,-0.3,0.139,0.239,0.31,0.346
Joint 1: ,0.3,0.406,0.58,0.726,0.898
Joint 2: ,0.4,0.133,0.126,0.151,0.231
Joint 3: ,1.2,1.177,1.054,0.955,0.819
Joint 4: ,0.5,0.472,0.471,0.536,0.681
Joint 5: ,1.2,1.243,1.171,1.071,0.911
Joint 6: ,0.0,-1.052,-1.508,-1.809,-1.744
Trial,2,Sim Type,5,Distance Weight,0.97,Random Seed,30,Min Iterations,2500,Distance cost,0.4291212814699562,Manip Cost,0.1560913473990006,Total cost,0.41825710659652443,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.119,0.087,0.124,0.081
Total Cost,0.0,0.12019,0.20824,0.3354,0.41826
Local Manip Cost,0.0,0.0,0.0,0.4663300956723389,0.3141266413226642
Joint 0: ,-0.3,0.36,0.238,0.159,0.252
Joint 1: ,0.3,0.333,0.918,0.738,0.891
Joint 2: ,0.4,0.142,0.489,0.462,0.425
Joint 3: ,1.2,1.346,0.831,1.054,0.944
Joint 4: ,0.5,0.399,0.76,0.631,0.721
Joint 5: ,1.2,1.299,0.716,0.884,0.724
Joint 6: ,0.0,1.272,1.854,1.995,1.917
Trial,3,Sim Type,5,Distance Weight,0.97,Random Seed,45,Min Iterations,2500,Distance cost,0.4082065200699007,Manip Cost,0.056923348690368705,Total cost,0.3966574189301923,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.0
