Trial,1,Sim Type,3,Distance Weight,0.8,Random Seed,15,Min Iterations,1500,Distance cost,0.7030614111065402,Manip Cost,0.22391723940997368,Total cost,0.5343266724409705,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.339395579334518e-05
Distance to Last Node,0.0,0.1,0.087,0.073,0.097,0.095,0.095,0.069,0.114,0.029,0.11
Total Cost,0.0,0.12802,0.18264,0.19712,0.21966,0.27838,0.33669,0.37893,0.44897,0.4666,0.53433
Joint 0: ,0.4,0.198,0.11,-0.046,-0.211,-0.353,-0.504,-0.462,-0.505,-0.485,-0.648
Joint 1: ,-1.45,-1.394,-1.285,-1.179,-1.162,-1.172,-1.238,-1.064,-1.134,-1.194,-1.382
Joint 2: ,1.0,0.991,0.904,0.966,1.032,1.062,1.084,0.749,0.589,0.461,0.854
Joint 3: ,-0.4,-0.626,-0.679,-0.932,-0.953,-0.954,-1.065,-1.127,-0.792,-0.686,-0.504
Joint 4: ,-0.1,-0.1,-0.114,-0.105,-0.141,-0.261,-0.418,-0.583,-0.676,-0.64,-1.078
Joint 5: ,-1.7,-1.751,-1.879,-1.868,-2.03,-2.178,-2.208,-2.168,-2.182,-2.229,-2.177
Joint 6: ,0.5,0.487,0.674,0.529,0.276,0.029,-0.215,0.484,1.915,3.34,2.813
Trial,2,Sim Type,3,Distance Weight,0.8,Random Seed,30,Min Iterations,1500,Distance cost,0.6711725280509406,Manip Cost,0.23739368785064188,Total cost,0.5281758884086668,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.670759208683641e-05,2.912600164e-11,1.0,1.0,1.0,1.0,1.0,1.0,2.411957860764455e-05,2.309062647141898e-05,2.189360566307228e-05
Distance to Last Node,0.0,0.05,0.097,0.078,0.11,0.089,0.081,0.1,0.098,0.047,0.042,0.036
Total Cost,0.0,0.06127,0.14194,0.16633,0.20673,0.26128,0.31118,0.37261,0.43294,0.46191,0.50108,0.52818
Joint 0: ,0.4,0.269,0.044,0.015,-0.223,-0.423,-0.511,-0.652,-0.738,-0.704,-0.671,-0.637
Joint 1: ,-1.45,-1.411,-1.285,-1.181,-1.186,-1.149,-1.21,-1.229,-1.244,-1.287,-1.329,-1.371
Joint 2: ,1.0,1.028,1.038,0.815,0.869,1.006,1.003,0.963,0.984,0.918,0.852,0.785
Joint 3: ,-0.4,-0.581,-0.908,-1.023,-1.075,-1.173,-1.086,-0.993,-0.944,-0.798,-0.651,-0.505
Joint 4: ,-0.1,-0.098,-0.056,0.078,-0.038,-0.084,-0.187,-0.251,-0.615,-0.75,-0.884,-1.019
Joint 5: ,-1.7,-1.682,-1.64,-1.858,-1.736,-1.835,-1.999,-2.012,-2.029,-2.072,-2.116,-2.16
Joint 6: ,0.5,0.384,0.454,1.099,0.736,0.377,0.18,0.133,-0.427,0.65,1.728,2.805
Trial,3,Sim Type,3,Distance Weight,0.8,Random Seed,45,Min Iterations,1500,Distance cost,0.659076830114462,Manip Cost,0.13436273745131339,Total cost,0.5008983908869912,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.659964805921048e-05
Distance to Last Node,0.0,0.113,0.084,0.098,0.099,0.097,0.124,0.105,0.032,0.031,0.03
Total Cost,0.0,0.13623,0.14296,0.18207,0.24299,0.30275,0.37897,0.44376,0.46344,0.48238,0.5009
Joint 0: ,0.4,0.246,0.15,0.018,-0.08,-0.232,-0.359,-0.561,-0.574,-0.587,-0.599
Joint 1: ,-1.45,-1.24,-1.118,-1.088,-1.058,-1.01,-1.06,-1.148,-1.213,-1.279,-1.344
Joint 2: ,1.0,0.868,0.698,0.588,0.449,0.464,0.325,0.416,0.467,0.519,0.57
Joint 3: ,-0.4,-0.812,-0.979,-1.057,-1.073,-1.118,-1.077,-0.884,-0.759,-0.635,-0.51
Joint 4: ,-0.1,-0.15,-0.058,-0.066,-0.113,-0.246,-0.351,-0.436,-0.569,-0.702,-0.834
Joint 5: ,-1.7,-1.785,-1.828,-1.832,-1.884,-1.95,-1.931,-1.992,-2.03,-2.069,-2.107
Joint 6: ,0.5,0.685,1.177,1.303,1.443,1.175,1.25,0.634,-0.749,-2.132,-3.515
Trial,4,Sim Type,3,Distance Weight,0.8,Random Seed,60,Min Iterations,1500,Distance cost,0.7144429449851505,Manip Cost,0.4318655612296754,Total cost,0.5429766381887143,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.620135702668026e-05,2.680072463602002e-05,0.0,2.742219613249844e-05,2.767244172e-11,2.928038057898018e-05,1.0,2.979159847405298e-05,2.917530936269468e-05,1.0,3.061075948494298e-05
