Trial,1,Sim Type,3,Distance Weight,0.8,Random Seed,15,Min Iterations,5000,Distance cost,0.6513375221009878,Manip Cost,0.3825159306821278,Total cost,0.5220966701390783,Object Reduction,0.0,Contact Sample Chance,0.2,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.636438093e-11,2.882132179705383e-05,2.896242379078874e-05,0.0,0.04481882069564453,1.0,1.0,1.0,1.0,2.11941173849987e-05,2.364310182210678e-05
Distance to Last Node,0.0,0.1,0.092,0.05,0.05,0.049,0.119,0.022,0.112,0.055,0.057,0.049,0.05
Total Cost,0.0,0.12802,0.18572,0.21386,0.24304,0.27159,0.32559,0.32869,0.36551,0.39916,0.43401,0.46399,0.5221
Joint 0: ,0.4,0.198,-0.038,-0.132,-0.239,-0.158,-0.527,-0.455,-0.361,-0.469,-0.577,-0.613,-0.649
Joint 1: ,-1.45,-1.394,-1.405,-1.415,-1.381,-1.307,-1.238,-1.18,-1.229,-1.238,-1.247,-1.315,-1.384
Joint 2: ,1.0,0.991,1.151,1.177,1.203,0.865,0.852,0.869,0.517,0.591,0.665,0.766,0.866
Joint 3: ,-0.4,-0.626,-0.852,-0.926,-1.008,-0.912,-1.151,-1.178,-0.932,-0.896,-0.86,-0.682,-0.504
Joint 4: ,-0.1,-0.1,-0.273,-0.301,-0.33,-0.253,-0.073,-0.483,-0.516,-0.626,-0.736,-0.913,-1.089
Joint 5: ,-1.7,-1.751,-1.71,-1.778,-1.784,-1.898,-1.453,-1.565,-2.148,-2.143,-2.138,-2.159,-2.181
Joint 6: ,0.5,0.487,-0.365,-0.526,-0.629,0.197,0.846,0.084,1.158,0.194,-0.77,-2.119,-3.467
