Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,1500,Distance cost,0.6662467279615508,Manip Cost,0.5274960276594357,Total cost,0.6329343915634732,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.442040199e-11,5.493377536e-11,1.0,2.946838495501944e-05,2.744437395545592e-05,2.732559513591692e-05,2.806012248848559e-05,2.870307192353557e-05
Distance to Last Node,0.0,0.115,0.098,0.115,0.123,0.05,0.085,0.117,0.059,0.06
Total Cost,0.0,0.08816,0.16373,0.2526,0.34738,0.38586,0.45161,0.5416,0.58707,0.63293
Joint 0: ,0.4,0.171,-0.029,-0.285,-0.466,-0.586,-0.595,-0.673,-0.68,-0.686
Joint 1: ,-1.45,-1.381,-1.384,-1.306,-1.267,-1.305,-1.307,-1.338,-1.386,-1.435
Joint 2: ,1.0,1.146,1.217,1.317,1.22,1.306,1.116,1.093,1.127,1.161
Joint 3: ,-0.4,-0.697,-0.882,-1.142,-1.189,-1.232,-1.079,-0.893,-0.696,-0.499
Joint 4: ,-0.1,-0.062,-0.119,-0.207,-0.384,-0.513,-0.632,-0.944,-1.151,-1.357
Joint 5: ,-1.7,-1.879,-1.979,-2.014,-2.096,-2.084,-2.143,-2.271,-2.266,-2.262
Joint 6: ,0.5,0.218,-0.081,-0.347,-0.409,-0.667,-0.499,-0.951,-2.197,-3.442
Trial,2,Sim Type,3,Distance Weight,1,Random Seed,30,Min Iterations,1500,Distance cost,0.6674395485677346,Manip Cost,0.11210280973461072,Total cost,0.6340675711393479,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.670759208683641e-05,2.912600164e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Distance to Last Node,0.0,0.05,0.097,0.078,0.05,0.119,0.095,0.098,0.05,0.052,0.109,0.01,0.014
Total Cost,0.0,0.03848,0.11341,0.17338,0.21186,0.30366,0.37695,0.45248,0.49096,0.53129,0.61535,0.62297,0.63407
Joint 0: ,0.4,0.269,0.044,0.015,-0.101,-0.192,-0.343,-0.446,-0.443,-0.511,-0.657,-0.556,-0.455
Joint 1: ,-1.45,-1.411,-1.285,-1.181,-1.137,-1.027,-1.057,-1.056,-1.122,-1.157,-1.332,-1.324,-1.316
Joint 2: ,1.0,1.028,1.038,0.815,0.852,0.632,0.605,0.496,0.289,0.437,0.484,0.186,-0.112
Joint 3: ,-0.4,-0.581,-0.908,-1.023,-1.203,-1.25,-1.3,-1.219,-1.055,-0.978,-0.506,-0.517,-0.528
Joint 4: ,-0.1,-0.098,-0.056,0.078,0.033,-0.114,-0.218,-0.289,-0.129,-0.465,-0.357,-0.317,-0.278
Joint 5: ,-1.7,-1.682,-1.64,-1.858,-1.791,-1.799,-1.797,-1.847,-1.971,-1.967,-2.072,-2.03,-1.987
Joint 6: ,0.5,0.384,0.454,1.099,0.955,1.183,1.017,1.041,1.5,0.258,0.437,1.517,2.597
Trial,3,Sim Type,3,Distance Weight,1,Random Seed,45,Min Iterations,1500,Distance cost,0.657413714333251,Manip Cost,0.0,Total cost,0.6245430286165884,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Distance to Last Node,0.0,0.113,0.084,0.098,0.099,0.097,0.124,0.1,0.096
Total Cost,0.0,0.08697,0.15192,0.22758,0.30373,0.37844,0.47371,0.5505,0.62454
Joint 0: ,0.4,0.246,0.15,0.018,-0.08,-0.232,-0.359,-0.409,-0.485
Joint 1: ,-1.45,-1.24,-1.118,-1.088,-1.058,-1.01,-1.06,-1.284,-1.314
Joint 2: ,1.0,0.868,0.698,0.588,0.449,0.464,0.325,0.086,0.023
Joint 3: ,-0.4,-0.812,-0.979,-1.057,-1.073,-1.118,-1.077,-0.605,-0.524
Joint 4: ,-0.1,-0.15,-0.058,-0.066,-0.113,-0.246,-0.351,-0.24,-0.386
Joint 5: ,-1.7,-1.785,-1.828,-1.832,-1.884,-1.95,-1.931,-2.254,-2.004
Joint 6: ,0.5,0.685,1.177,1.303,1.443,1.175,1.25,1.703,2.637
Trial,4,Sim Type,3,Distance Weight,1,Random Seed,60,Min Iterations,1500,Distance cost,0.663914679397219,Manip Cost,0.43376957392774407,Total cost,0.6307189454273581,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.620135702668026e-05,2.680072463602002e-05,0.0,0.0,1.0,1.0,2.903706236716144e-05,2.702600640903443e-05,2.618423592428086e-05,2.527605015314066e-05,2.430508478966041e-05
Distance to Last Node,0.0,0.086,0.098,0.087,0.05,0.095,0.117,0.051,0.113,0.038,0.041,0.044
Total Cost,0.0,0.06583,0.14108,0.20777,0.24625,0.319,0.40939,0.44895,0.53613,0.5656,0.59719,0.63072
Joint 0: ,0.4,0.286,0.056,-0.089,-0.183,-0.35,-0.428,-0.584,-0.507,-0.556,-0.605,-0.654
Joint 1: ,-1.45,-1.458,-1.441,-1.403,-1.378,-1.291,-1.293,-1.373,-1.456,-1.433,-1.411,-1.389
Joint 2: ,1.0,0.989,1.028,1.081,1.061,1.135,0.779,1.214,1.039,0.992,0.945,0.898
Joint 3: ,-0.4,-0.463,-0.694,-0.841,-0.928,-1.015,-0.87,-0.859,-0.493,-0.496,-0.5,-0.503
Joint 4: ,-0.1,-0.181,-0.191,-0.244,-0.271,-0.433,0.032,-0.441,-1.008,-1.045,-1.081,-1.118
Joint 5: ,-1.7,-1.829,-1.8,-1.961,-1.968,-2.009,-2.392,-2.379,-2.524,-2.413,-2.301,-2.189
Joint 6: ,0.5,0.186,-0.005,-0.267,-0.285,-0.619,-0.22,-1.189,-1.014,0.264,1.542,2.82
Trial,5,Sim Type,3,Distance Weight,1,Random Seed,75,Min Iterations,1500,Distance cost,0.6531506701467642,Manip Cost,0.24382925616769682,Total cost,0.620493136639426,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.577951831654274e-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.134098504463342e-05
Distance to Last Node,0.0,0.05,0.094,0.098,0.107,0.098,0.097,0.05,0.099,0.034,0.037,0.042
Total Cost,0.0,0.03848,0.11072,0.18625,0.2688,0.34389,0.41891,0.45739,0.53362,0.55967,0.5885,0.62049
Joint 0: ,0.4,0.397,0.222,-0.011,-0.176,-0.234,-0.364,-0.408,-0.456,-0.515,-0.574,-0.633
Joint 1: ,-1.45,-1.426,-1.362,-1.272,-1.103,-1.111,-1.21,-1.281,-1.195,-1.253,-1.31,-1.368
Joint 2: ,1.0,0.97,1.0,0.96,0.752,0.588,0.627,0.644,0.372,0.502,0.631,0.761
Joint 3: ,-0.4,-0.298,-0.498,-0.867,-1.068,-1.05,-0.893,-0.76,-0.811,-0.709,-0.607,-0.506
Joint 4: ,-0.1,-0.169,-0.147,-0.192,-0.186,-0.209,-0.336,-0.429,-0.476,-0.65,-0.824,-0.997
Joint 5: ,-1.7,-1.877,-2.019,-1.876,-1.653,-1.846,-2.034,-2.137,-1.973,-2.033,-2.093,-2.153
Joint 6: ,0.5,0.281,0.278,0.313,0.782,0.963,0.546,0.273,0.902,-0.56,-2.022,-3.484
Trial,6,Sim Type,3,Distance Weight,1,Random Seed,90,Min Iterations,1500,Distance cost,0.6495032582431395,Manip Cost,0.35941043852804966,Total cost,0.6170280953309825,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.982353032401097e-05,1.47119676896587e-05,1.0
Distance to Last Node,0.0,0.098,0.05,0.096,0.124,0.092,0.115,0.068,0.115,0.019,0.025
Total Cost,0.0,0.07545,0.11393,0.18816,0.28372,0.35438,0.44256,0.49486,0.5831,0.59795,0.61703
Joint 0: ,0.4,0.188,0.104,-0.103,-0.354,-0.469,-0.336,-0.703,-0.552,-0.549,-0.546
Joint 1: ,-1.45,-1.326,-1.311,-1.288,-1.201,-1.173,-1.107,-1.198,-1.398,-1.36,-1.322
Joint 2: ,1.0,0.897,0.883,0.907,0.908,0.9,0.681,1.112,0.691,0.497,0.302
Joint 3: ,-0.4,-0.769,-0.838,-1.008,-1.182,-1.103,-1.209,-1.08,-0.366,-0.442,-0.517
Joint 4: ,-0.1,-0.087,-0.107,-0.125,-0.138,-0.141,-0.999,-0.894,-0.838,-0.726,-0.614
Joint 5: ,-1.7,-1.613,-1.638,-1.638,-1.659,-1.857,-2.097,-1.914,-2.338,-2.194,-2.051
Joint 6: ,0.5,0.862,0.819,0.661,0.554,0.48,0.116,-1.314,0.1,1.404,2.709
Trial,7,Sim Type,3,Distance Weight,1,Random Seed,105,Min Iterations,1500,Distance cost,0.6693030408267163,Manip Cost,0.28905109354842207,Total cost,0.6358378887853805,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,2.923890856e-11,1.0,1.0,1.0,1.0,2.06000737028785e-05,1.0,1.0,1.0
Distance to Last Node,0.0,0.095,0.109,0.119,0.099,0.056,0.058,0.054,0.124,0.036,0.037,0.038
Total Cost,0.0,0.07335,0.15734,0.24897,0.3254,0.36867,0.4134,0.45499,0.55071,0.57835,0.60673,0.63584
Joint 0: ,0.4,0.194,0.093,-0.098,-0.142,-0.158,-0.316,-0.474,-0.514,-0.524,-0.533,-0.543
Joint 1: ,-1.45,-1.29,-1.352,-1.276,-1.212,-1.208,-1.223,-1.237,-1.326,-1.325,-1.323,-1.321
Joint 2: ,1.0,0.916,1.019,1.259,1.014,0.717,0.892,1.068,0.737,0.587,0.437,0.286
Joint 3: ,-0.4,-0.755,-0.59,-0.745,-0.679,-0.674,-0.737,-0.799,-0.64,-0.599,-0.558,-0.517
Joint 4: ,-0.1,-0.082,-0.096,-0.542,-0.72,-0.558,-0.689,-0.821,-0.791,-0.727,-0.664,-0.6
Joint 5: ,-1.7,-1.628,-2.089,-2.255,-2.28,-2.337,-2.213,-2.089,-2.286,-2.207,-2.127,-2.048
Joint 6: ,0.5,0.809,0.312,-0.846,-0.489,0.308,-0.534,-1.375,-0.441,0.607,1.656,2.704
