Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,1500,Distance cost,0.6770261804553319,Manip Cost,0.49560255475773973,Total cost,0.6431748714325652,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,4.929011016e-11,3.074116312111196e-05,2.792220057014656e-05,2.876640846206771e-05,2.949217603231272e-05,2.815522274469446e-05,2.811921445587732e-05,2.807648559059152e-05,2.80270664352527e-05,2.797099014289325e-05,2.790829262591732e-05,2.783901256155172e-05,2.776319140210309e-05,2.768087336349559e-05
Distance to Last Node,0.0,0.1,0.087,0.05,0.119,0.095,0.05,0.103,0.023,0.022,0.022,0.04,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016
Total Cost,0.0,0.0767,0.14362,0.1821,0.27375,0.34715,0.38564,0.46504,0.48278,0.49937,0.5164,0.54714,0.55877,0.57052,0.58238,0.59435,0.60642,0.61858,0.63084,0.64317
Joint 0: ,0.4,0.198,0.11,0.031,-0.211,-0.353,-0.402,-0.531,-0.525,-0.567,-0.609,-0.609,-0.618,-0.626,-0.635,-0.644,-0.652,-0.661,-0.67,-0.678
Joint 1: ,-1.45,-1.394,-1.285,-1.264,-1.162,-1.172,-1.257,-1.392,-1.308,-1.323,-1.339,-1.327,-1.339,-1.351,-1.363,-1.374,-1.386,-1.398,-1.41,-1.421
Joint 2: ,1.0,0.991,0.904,0.912,1.032,1.062,1.118,1.419,1.153,1.217,1.28,1.161,1.152,1.143,1.134,1.125,1.116,1.107,1.098,1.089
Joint 3: ,-0.4,-0.626,-0.679,-0.725,-0.953,-0.954,-0.907,-0.877,-0.848,-0.851,-0.853,-0.849,-0.805,-0.761,-0.718,-0.674,-0.631,-0.587,-0.543,-0.5
Joint 4: ,-0.1,-0.1,-0.114,-0.165,-0.141,-0.261,-0.372,-0.929,-0.851,-0.956,-1.061,-1.21,-1.22,-1.23,-1.24,-1.25,-1.26,-1.27,-1.28,-1.29
Joint 5: ,-1.7,-1.751,-1.879,-1.926,-2.03,-2.178,-2.304,-2.581,-2.451,-2.397,-2.344,-2.311,-2.303,-2.294,-2.285,-2.277,-2.268,-2.259,-2.25,-2.242
Joint 6: ,0.5,0.487,0.674,0.522,0.276,0.029,-0.253,-1.635,-0.448,-1.873,-3.298,-2.271,-0.848,0.576,2.0,3.424,4.848,6.272,7.696,9.12
Trial,2,Sim Type,3,Distance Weight,1,Random Seed,30,Min Iterations,1500,Distance cost,0.661125537123258,Manip Cost,0.40416674708567935,Total cost,0.628069260267095,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.926091474e-11,0.0,1.0,1.0,2.676815894401556e-05,1.0,1.0,2.401278836085999e-05,2.285922662570572e-05,2.152126132015831e-05
Distance to Last Node,0.0,0.1,0.089,0.088,0.05,0.121,0.094,0.098,0.05,0.047,0.042,0.036
Total Cost,0.0,0.07683,0.14563,0.21328,0.25176,0.34509,0.41779,0.49312,0.5316,0.56785,0.60013,0.62807
Joint 0: ,0.4,0.155,0.012,-0.137,-0.223,-0.501,-0.573,-0.636,-0.738,-0.703,-0.669,-0.634
Joint 1: ,-1.45,-1.345,-1.28,-1.265,-1.186,-1.204,-1.282,-1.184,-1.244,-1.286,-1.328,-1.369
Joint 2: ,1.0,1.006,0.947,0.879,0.869,1.039,1.081,0.789,0.984,0.913,0.841,0.769
Joint 3: ,-0.4,-0.759,-0.889,-0.963,-1.075,-1.23,-1.012,-0.986,-0.944,-0.798,-0.652,-0.506
Joint 4: ,-0.1,-0.098,-0.04,-0.038,-0.038,-0.174,-0.3,-0.35,-0.615,-0.745,-0.875,-1.004
Joint 5: ,-1.7,-1.648,-1.766,-1.733,-1.736,-1.87,-2.139,-2.055,-2.029,-2.071,-2.113,-2.155
Joint 6: ,0.5,0.45,0.635,0.717,0.736,0.176,-0.143,0.361,-0.427,0.649,1.725,2.801
Trial,3,Sim Type,3,Distance Weight,1,Random Seed,45,Min Iterations,1500,Distance cost,0.6562310480954249,Manip Cost,0.2,Total cost,0.6234194956906536,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Distance to Last Node,0.0,0.113,0.084,0.098,0.099,0.097,0.124,0.05,0.063,0.082
Total Cost,0.0,0.08697,0.15192,0.22758,0.30373,0.37844,0.47371,0.51219,0.56066,0.62342
Joint 0: ,0.4,0.246,0.15,0.018,-0.08,-0.232,-0.359,-0.363,-0.378,-0.419
Joint 1: ,-1.45,-1.24,-1.118,-1.088,-1.058,-1.01,-1.06,-1.145,-1.202,-1.324
Joint 2: ,1.0,0.868,0.698,0.588,0.449,0.464,0.325,0.194,-0.108,-0.277
Joint 3: ,-0.4,-0.812,-0.979,-1.057,-1.073,-1.118,-1.077,-0.907,-0.745,-0.532
Joint 4: ,-0.1,-0.15,-0.058,-0.066,-0.113,-0.246,-0.351,-0.352,-0.087,-0.144
Joint 5: ,-1.7,-1.785,-1.828,-1.832,-1.884,-1.95,-1.931,-2.06,-1.998,-1.972
Joint 6: ,0.5,0.685,1.177,1.303,1.443,1.175,1.25,1.435,2.57,2.548
Trial,4,Sim Type,3,Distance Weight,1,Random Seed,60,Min Iterations,1500,Distance cost,0.6629120568416397,Manip Cost,0.6126525545227827,Total cost,0.6297664539995577,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.620135702668026e-05,2.680072463602002e-05,0.0,0.0,2.767244172e-11,0.0,2.9583518436722e-05,3.067308190500567e-05,2.092953420965291e-05,3.042158790814996e-05
Distance to Last Node,0.0,0.086,0.098,0.087,0.05,0.095,0.05,0.092,0.07,0.102,0.089
Total Cost,0.0,0.06583,0.14108,0.20777,0.24625,0.319,0.35748,0.42838,0.48209,0.56095,0.62977
Joint 0: ,0.4,0.286,0.056,-0.089,-0.183,-0.35,-0.403,-0.528,-0.674,-0.476,-0.652
Joint 1: ,-1.45,-1.458,-1.441,-1.403,-1.378,-1.291,-1.296,-1.34,-1.423,-1.348,-1.492
Joint 2: ,1.0,0.989,1.028,1.081,1.061,1.135,1.198,1.29,1.379,0.747,1.313
Joint 3: ,-0.4,-0.463,-0.694,-0.841,-0.928,-1.015,-0.923,-0.948,-0.912,-0.891,-0.321
Joint 4: ,-0.1,-0.181,-0.191,-0.244,-0.271,-0.433,-0.474,-0.737,-0.762,-1.505,-1.468
Joint 5: ,-1.7,-1.829,-1.8,-1.961,-1.968,-2.009,-2.114,-2.283,-2.257,-2.357,-2.377
Joint 6: ,0.5,0.186,-0.005,-0.267,-0.285,-0.619,-0.855,-1.517,-1.822,-3.015,-2.742
Trial,5,Sim Type,3,Distance Weight,1,Random Seed,75,Min Iterations,1500,Distance cost,0.6590514637334757,Manip Cost,0.33754527061991196,Total cost,0.6260988905468019,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.577951831654274e-05,0.0,0.0,1.0,1.0,1.0,1.0,2.6018374674394e-05,2.623722962425155e-05
Distance to Last Node,0.0,0.05,0.094,0.098,0.107,0.094,0.125,0.104,0.083,0.058
Total Cost,0.0,0.03848,0.11072,0.18625,0.2688,0.34145,0.43747,0.51789,0.58147,0.6261
Joint 0: ,0.4,0.397,0.222,-0.011,-0.176,-0.296,-0.554,-0.7,-0.756,-0.668
Joint 1: ,-1.45,-1.426,-1.362,-1.272,-1.103,-1.116,-1.065,-1.153,-1.286,-1.406
Joint 2: ,1.0,0.97,1.0,0.96,0.752,0.768,0.867,1.056,1.029,1.001
Joint 3: ,-0.4,-0.298,-0.498,-0.867,-1.068,-1.044,-1.12,-1.083,-0.723,-0.501
Joint 4: ,-0.1,-0.169,-0.147,-0.192,-0.186,-0.354,-0.496,-0.957,-0.804,-1.209
Joint 5: ,-1.7,-1.877,-2.019,-1.876,-1.653,-1.778,-1.779,-1.825,-2.05,-2.217
Joint 6: ,0.5,0.281,0.278,0.313,0.782,0.403,-0.129,-1.209,-2.167,-3.454
Trial,6,Sim Type,3,Distance Weight,1,Random Seed,90,Min Iterations,1500,Distance cost,0.6733887120637183,Manip Cost,0.3147600262142287,Total cost,0.6397192764605324,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.379014649993686e-05
Distance to Last Node,0.0,0.098,0.05,0.097,0.12,0.093,0.05,0.089,0.123,0.056,0.055
Total Cost,0.0,0.07545,0.11393,0.18892,0.28142,0.35302,0.3915,0.46023,0.55466,0.59756,0.63972
Joint 0: ,0.4,0.188,0.104,-0.03,-0.242,-0.364,-0.444,-0.551,-0.622,-0.636,-0.65
Joint 1: ,-1.45,-1.326,-1.311,-1.28,-1.147,-1.127,-1.136,-1.161,-1.113,-1.249,-1.385
Joint 2: ,1.0,0.897,0.883,0.914,0.968,0.999,0.978,0.984,0.843,0.858,0.873
Joint 3: ,-0.4,-0.769,-0.838,-0.914,-1.121,-1.035,-1.017,-0.981,-1.062,-0.783,-0.503
Joint 4: ,-0.1,-0.087,-0.107,-0.259,-0.321,-0.402,-0.401,-0.584,-1.02,-1.058,-1.095
Joint 5: ,-1.7,-1.613,-1.638,-1.821,-1.913,-2.075,-2.11,-2.259,-1.827,-2.005,-2.183
Joint 6: ,0.5,0.862,0.819,0.411,0.19,-0.041,-0.059,-0.378,-0.902,-2.184,-3.466
Trial,7,Sim Type,3,Distance Weight,1,Random Seed,105,Min Iterations,1500,Distance cost,0.6725973011247889,Manip Cost,0.49043018828834967,Total cost,0.6389674360685494,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,1.0,0.0,1.0,2.466171794104595e-05,0.0,1.0,2.055548744723811e-05,2.227040843237739e-05
Distance to Last Node,0.0,0.095,0.109,0.083,0.088,0.068,0.121,0.111,0.052,0.051,0.052
Total Cost,0.0,0.07335,0.15734,0.22104,0.289,0.34147,0.43452,0.51994,0.55967,0.59907,0.63897
Joint 0: ,0.4,0.194,0.093,-0.013,0.116,-0.045,-0.501,-0.344,-0.541,-0.59,-0.64
Joint 1: ,-1.45,-1.29,-1.352,-1.027,-1.278,-1.167,-1.366,-1.264,-1.255,-1.314,-1.374
Joint 2: ,1.0,0.916,1.019,0.6,0.167,0.6,0.923,0.349,0.673,0.737,0.802
Joint 3: ,-0.4,-0.755,-0.59,-1.003,-0.557,-0.871,-0.861,-0.673,-0.664,-0.584,-0.505
Joint 4: ,-0.1,-0.082,-0.096,-0.028,0.125,-0.69,-0.151,-0.553,-0.66,-0.847,-1.033
Joint 5: ,-1.7,-1.628,-2.089,-1.711,-2.678,-2.367,-2.291,-2.237,-2.078,-2.121,-2.164
