Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,5000,Distance cost,0.6472064559849203,Manip Cost,0.6250654195043572,Total cost,0.6148461331856743,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.019112196490549e-05,2.112508908914821e-05,2.178906180604358e-05,2.185890028493647e-05,2.300919753325612e-05,2.409150975486295e-05,2.510266653731624e-05,2.603971846854376e-05,2.68999469644994e-05,2.768087336349559e-05
Distance to Last Node,0.0,0.1,0.05,0.105,0.047,0.117,0.111,0.058,0.056,0.015,0.017,0.02,0.02,0.02,0.021,0.021,0.022
Total Cost,0.0,0.0767,0.11518,0.19604,0.23242,0.32233,0.40739,0.45224,0.49555,0.50696,0.51969,0.53502,0.55051,0.56618,0.58208,0.59829,0.61485
Joint 0: ,0.4,0.198,0.082,0.09,-0.042,-0.072,-0.283,-0.344,-0.405,-0.432,-0.448,-0.486,-0.525,-0.563,-0.602,-0.64,-0.678
Joint 1: ,-1.45,-1.394,-1.327,-1.344,-1.297,-1.304,-1.282,-1.379,-1.475,-1.466,-1.469,-1.461,-1.453,-1.445,-1.437,-1.429,-1.421
Joint 2: ,1.0,0.991,0.946,0.656,0.904,0.681,0.681,0.709,0.738,0.768,0.77,0.823,0.877,0.93,0.983,1.036,1.089
Joint 3: ,-0.4,-0.626,-0.799,-0.619,-0.794,-0.649,-0.735,-0.566,-0.397,-0.419,-0.412,-0.427,-0.441,-0.456,-0.471,-0.485,-0.5
Joint 4: ,-0.1,-0.1,-0.103,-0.01,-0.318,-0.514,-0.536,-0.613,-0.691,-0.755,-0.833,-0.909,-0.986,-1.062,-1.138,-1.214,-1.29
Joint 5: ,-1.7,-1.751,-1.667,-2.114,-2.093,-2.313,-2.257,-2.484,-2.711,-2.646,-2.613,-2.551,-2.489,-2.427,-2.365,-2.304,-2.242
Joint 6: ,0.5,0.487,0.601,1.389,0.5,0.59,1.145,-0.02,-1.185,0.098,1.517,2.784,4.051,5.318,6.585,7.853,9.12
