Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,5000,Distance cost,0.6413652987134567,Manip Cost,0.4278597975240789,Total cost,0.6092970337777839,Object Reduction,0.0,Contact Sample Chance,0.2,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.636438093e-11,2.896242379078874e-05,2.911797712343561e-05,2.778534166301042e-05,2.815224484237122e-05,1.0,1.0,2.481391959598784e-05
Distance to Last Node,0.0,0.1,0.092,0.098,0.098,0.121,0.087,0.123,0.041,0.033
Total Cost,0.0,0.0767,0.14747,0.22298,0.29809,0.39143,0.45831,0.55274,0.58403,0.6093
Joint 0: ,0.4,0.198,-0.038,-0.239,-0.368,-0.446,-0.591,-0.736,-0.697,-0.658
Joint 1: ,-1.45,-1.394,-1.405,-1.381,-1.394,-1.321,-1.307,-1.137,-1.265,-1.393
Joint 2: ,1.0,0.991,1.151,1.203,1.211,1.135,1.172,0.794,0.859,0.924
Joint 3: ,-0.4,-0.626,-0.852,-1.008,-0.987,-0.947,-0.94,-0.996,-0.749,-0.502
Joint 4: ,-0.1,-0.1,-0.273,-0.33,-0.419,-0.694,-0.875,-0.704,-0.922,-1.14
Joint 5: ,-1.7,-1.751,-1.71,-1.784,-1.966,-2.235,-2.164,-1.63,-1.913,-2.196
Joint 6: ,0.5,0.487,-0.365,-0.629,-0.888,-1.229,-1.366,-1.717,-2.589,-3.462
